OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
American Journal of Community Psychology;0091-0562;1573-2770;;;Wiley-Blackwell;NL;C159110408;American Journal of Community Psychology;0091-0562;1573-2770;"2739; 3202; 3306;";AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY;0091-0562;1573-2770;Public, Environmental & Occupational Health | Psychology, Multidisciplinary | Social Work;;;
American Journal of Critical Care;1062-3264;1937-710X;;;American Association of Critical-Care Nurses;US;C159110408;American Journal of Critical Care;1062-3264;-;"2906; 2700;";AMERICAN JOURNAL OF CRITICAL CARE;1062-3264;1937-710X;Critical Care Medicine | Nursing;;;
American Journal of Dance Therapy;0146-3721;1573-3262;;;Springer Science+Business Media;US;C159110408;American Journal of Dance Therapy;0146-3721;1573-3262;"2738;";AMERICAN JOURNAL OF DANCE THERAPY;0146-3721;1573-3262;Psychology, Multidisciplinary;;;
American journal of data, information and knowledge management;2789-3146;;;;;KE;C159110408;;;;;;;;;;;
American journal of disaster medicine;1932-149X;2331-3226;;;;US;C159110408;American journal of disaster medicine;1932-149X;-;"2700;";;;;;;;
American Journal of Drug and Alcohol Abuse;0095-2990;1097-9891;;;Marcel Dekker;US;C159110408;American Journal of Drug and Alcohol Abuse;0095-2990;1097-9891;"2738; 3203; 2701;";AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE;0095-2990;1097-9891;Substance Abuse;;;
American Journal of Emergency Medicine;1532-8171;0735-6757;;;Elsevier BV;US;C159110408;American Journal of Emergency Medicine;0735-6757;1532-8171;"2711; 2700;";AMERICAN JOURNAL OF EMERGENCY MEDICINE;0735-6757;1532-8171;Emergency Medicine;;;
American journal of epidemiology and infectious disease;2333-116X;2333-1275;;;;US;C159110408;;;;;;;;;;;
American Journal of Geriatric Pharmacotherapy;1876-7761;1543-5946;;;Elsevier BV;NL;C159110408;;;;;;;;;;;
American Journal of Health Behavior;1945-7359;1087-3244;;;PNG Publications;US;C159110408;American Journal of Health Behavior;1087-3244;1945-7359;"2739; 3207; 3306;";AMERICAN JOURNAL OF HEALTH BEHAVIOR;1945-7359;1945-7359;Public, Environmental & Occupational Health;;;
American journal of health economics;2332-3493;2332-3507;;;University of Chicago Press;US;C159110408;American Journal of Health Economics;2332-3493;2332-3507;"2739; 2719; 2001;";AMERICAN JOURNAL OF HEALTH ECONOMICS;2332-3493;2332-3507;Economics | Health Policy & Services;;;
American journal of health education;1932-5037;2168-3751;;;Taylor & Francis;US;C159110408;American Journal of Health Education;1932-5037;2168-3751;"2739; 3306;";AMERICAN JOURNAL OF HEALTH EDUCATION;1932-5037;2168-3751;Public, Environmental & Occupational Health;;;
American Journal of Health Promotion;2168-6602;0890-1171;;;SAGE Publishing;US;C159110408;American Journal of Health Promotion;0890-1171;2168-6602;"2739; 3306;";AMERICAN JOURNAL OF HEALTH PROMOTION;0890-1171;2168-6602;Public, Environmental & Occupational Health;;;
American Journal of Health Research;2330-8796;2330-8788;;;Science Publishing Group;US;C159110408;;;;;;;;;;;
American Journal of Health Sciences;2156-7794;2157-9636;;;;US;C159110408;;;;;;;;;;;
American journal of health studies;1090-0500;1945-4511;;;;US;C159110408;;;;;;;;;;;
American journal of health, medicine and nursing practice;2520-4017;;;;;KE;C159110408;;;;;;;;;;;
American Journal of Health-system Pharmacy;1079-2082;1535-2900;;;Oxford University Press;US;C159110408;American Journal of Health-System Pharmacy;1079-2082;-;"2719; 3004;";AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY;1079-2082;1535-2900;Pharmacology & Pharmacy;;;
American Journal of Hospice and Palliative Medicine;1049-9091;1938-2715;0749-1565;;SAGE Publishing;US;C159110408;American Journal of Hospice and Palliative Medicine;1049-9091;-;"2700;";AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE;1049-9091;1938-2715;Health Care Sciences & Services;;;
American journal of law and legal studies;2638-2202;;;;;US;C159110408;;;;;;;;;;;
American Journal of Lifestyle Medicine;1559-8276;1559-8284;;;SAGE Publishing;US;C159110408;American Journal of Lifestyle Medicine;1559-8276;1559-8284;"2739; 2719; 2701;";AMERICAN JOURNAL OF LIFESTYLE MEDICINE;1559-8276;1559-8284;Public, Environmental & Occupational Health;;;
American Journal of Medical Quality;1555-824X;1062-8606;;;SAGE Publishing;US;C159110408;American Journal of Medical Quality;1062-8606;-;"2719;";AMERICAN JOURNAL OF MEDICAL QUALITY;1062-8606;1555-824X;Health Care Sciences & Services;;;
American Journal of Men's Health;1557-9883;1557-9891;;;SAGE Publishing;US;C159110408;American Journal of Men's Health;1557-9883;-;"2739; 3306;";AMERICAN JOURNAL OF MENS HEALTH;1557-9883;1557-9891;Public, Environmental & Occupational Health;American Journal of Men's Health;1557-9883;1557-9891
American Journal of Nursing;1538-7488;0002-936X;;;Lippincott Williams & Wilkins;US;C159110408;American Journal of Nursing;0002-936X;-;"2700; 2900;";AMERICAN JOURNAL OF NURSING;0002-936X;1538-7488;Nursing;;;
American journal of nursing research;2378-5586;2378-5594;;;;US;C159110408;;;;;;;;;;;
American Journal of Nursing Science;2328-5745;2328-5753;;;Science Publishing Group;US;C159110408;;;;;;;;;;;
American Journal of Occupational Therapy;1943-7676;0272-9490;;;American Occupational Therapy Association;US;C159110408;American Journal of Occupational Therapy;0272-9490;-;"3609;";AMERICAN JOURNAL OF OCCUPATIONAL THERAPY;0272-9490;1943-7676;Rehabilitation;;;
American journal of pharmacological sciences;2327-6711;2327-672X;;;;US;C159110408;;;;;;;;;;;
American Journal of Preventive Medicine;0749-3797;1873-2607;;;Elsevier BV;NL;C159110408;American Journal of Preventive Medicine;0749-3797;-;"2739; 2713;";AMERICAN JOURNAL OF PREVENTIVE MEDICINE;0749-3797;1873-2607;Public, Environmental & Occupational Health | Medicine, General & Internal;;;
American journal of preventive medicine and public health;2576-3741;;;;;US;C159110408;;;;;;;;;;;
American Journal of Psychiatric Rehabilitation;1548-7776;1548-7768;;;Taylor & Francis;US;C159110408;;;;;AMERICAN JOURNAL OF PSYCHIATRIC REHABILITATION;1548-7768;1548-7776;Rehabilitation;;;
American journal of psychiatric research and reviews;2637-479X;;;;;US;C159110408;;;;;;;;;;;
American journal of psychiatry and neuroscience;2330-426X;2330-4243;;;Science Publishing Group;US;C159110408;;;;;;;;;;;
American journal of public administration;2641-4597;;;;;US;C159110408;;;;;;;;;;;
American Journal of Public Health;1541-0048;0090-0036;;;American Public Health Association;US;C159110408;American Journal of Public Health;0090-0036;1541-0048;"2739;";AMERICAN JOURNAL OF PUBLIC HEALTH;0090-0036;1541-0048;Public, Environmental & Occupational Health;;;
American journal of public health;2330-9687;0271-4353;;;American Public Health Association;US;C159110408;;;;;;;;;;;
American journal of public health and the nation's health;2330-9679;0002-9572;;;American Public Health Association;US;C159110408;;;;;;;;;;;
American Journal of Public Health Research;2327-669X;2327-6703;;;;US;C159110408;;;;;;;;;;;
American journal of recreation therapy;1539-4131;;;;;US;C159110408;;;;;;;;;;;
American Journal of Sexuality Education;1554-6128;1554-6136;;;Routledge;US;C159110408;American Journal of Sexuality Education;1554-6128;1554-6136;"3304;";AMERICAN JOURNAL OF SEXUALITY EDUCATION;1554-6128;1554-6136;Education & Educational Research;;;
American Journal of Speech-language Pathology;1558-9110;1058-0360;;;American Speech–Language–Hearing Association;US;C159110408;American Journal of Speech-Language Pathology;1058-0360;-;"3616; 3310; 3204; 2733;";AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY;1058-0360;1558-9110;Audiology & Speech-Language Pathology | Rehabilitation;;;
American journal of tropical medicine and public health;2248-986X;;;;;IN;C159110408;;;;;;;;;;;
American journal of veterinary medical research;2169-7957;;;;;;C159110408;;;;;;;;;;;
American journal on intellectual and developmental disabilities;1944-7558;1944-7515;;;;US;C159110408;American Journal on Intellectual and Developmental Disabilities;1944-7515;1944-7558;"2738; 2728; 1201; 3204; 3206; 2700; 2735;";AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES;1944-7515;1944-7558;Education, Special | Rehabilitation;;;
American Nephrology Nurses' Association journal;8750-0779;;;;;US;C159110408;;;;;;;;;;;
American nurse today;1930-5583;2162-8629;;;;US;C159110408;;;;;;;;;;;
American research journal of geriatrics and aging;2639-3093;;;;;US;C159110408;;;;;;;;;;;
American research journal of nursing;2379-2922;;;;;US;C159110408;;;;;;;;;;;
American research journal of public health;2639-3042;;;;;US;C159110408;;;;;;;;;;;
AMRC open research;2517-6900;;;;Faculty of 1000;GB;C159110408;;;;;;;;;AMRC Open Research;;2517-6900
ANA clinical conferences;0093-0423;;;;;;C159110408;;;;;;;;;;;
ANA clinical sessions;0065-9495;;;;;US;C159110408;;;;;;;;;;;
Anadolu Psikiyatri Dergisi;1302-6631;1302-6631;;;;TR;;Anadolu Psikiyatri Dergisi;1302-6631;-;"2738; 2921;";;;;;;;
Anais do ... Congresso de Psicologia da Zona da Mata e Vertentes e ... Encontro Juizforano de Psicologia;2525-4685;2176-0551;;;;BR;C159110408;;;;;;;;;;;
Anales en Gerontología;1659-0813;;;;University of Costa Rica;CR;C159110408;;;;;;;;;Anales en Gerontología;1659-0813;2215-4647
Anatolian journal of emergency medicine;2651-4311;;;;;TR;C159110408;;;;;;;;;;;
Annali di igiene : medicina preventiva e di comunità;1120-9135;;;;Springer Nature;IT;C159110408;Annali di Igiene Medicina Preventiva e di Comunita;1120-9135;-;"2725; 2739;";ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITA;1120-9135;1120-9135;Health Care Sciences & Services;;;
Annals of African medical research;2611-6642;2612-5498;;;PAGEPress (Italy);IT;C159110408;;;;;;;;;;;
Annals of alzheimer's and dementia care;2692-448X;;;;;US;C159110408;;;;;;;;;;;
Annals of Behavioral Medicine;0883-6612;1532-4796;;;Springer Science+Business Media;GB;C159110408;Annals of Behavioral Medicine;0883-6612;1532-4796;"2738; 3200;";ANNALS OF BEHAVIORAL MEDICINE;0883-6612;1532-4796;Psychology, Multidisciplinary;;;
Annals of burns and fire disasters;1121-1539;1121-1539;;;;IT;;Annals of Burns and Fire Disasters;1121-1539;1592-9566;"2706; 2907; 2711;";;;;;;;
Annals of CardioPulmonary Rehabilitation;2765-7558;2765-7957;;;;KR;C159110408;;;;;;;;;;;
Annals of clinical case studies;2688-1241;;;;;US;C159110408;;;;;;;;;;;
Annals of Community Health;2347-5455;;;;Akash Institute of Medical Sciences and Research Centre;IN;C159110408;;;;;;;;;;;
Annals of Emergency Medicine;0196-0644;1085-8717;1097-6760;;Mosby;US;C159110408;Annals of Emergency Medicine;0196-0644;1097-6760;"2711;";ANNALS OF EMERGENCY MEDICINE;0196-0644;1097-6760;Emergency Medicine;;;
Annals of Family Medicine;1544-1717;1544-1709;;;American Academy of Family Physicians;US;C159110408;Annals of Family Medicine;1544-1709;1544-1717;"2714;";ANNALS OF FAMILY MEDICINE;1544-1709;1544-1717;Primary Health Care | Medicine, General & Internal;;;
Annals of geriatic education and medical sciences;2348-7240;2348-7348;;;;IN;C159110408;;;;;;;;;;;
Annals of geriatric medicine and research;2508-4909;2508-4798;;;Korea Geriatrics Society;KR;C159110408;Annals of Geriatric Medicine and Research;2508-4798;2508-4909;"2717;";ANNALS OF GERIATRIC MEDICINE AND RESEARCH;2508-4909;2508-4909;Geriatrics & Gerontology;Annals of Geriatric Medicine and Research;2508-4798;2508-4909
Annals of global health;2214-9996;;;;Elsevier BV;GB;C159110408;Annals of Global Health;-;2214-9996;"2700;";ANNALS OF GLOBAL HEALTH;2214-9996;2214-9996;Public, Environmental & Occupational Health;Annals of Global Health;;2214-9996
Annals of Indian psychiatry;2588-8358;2588-8366;;;Medknow;IN;C159110408;;;;;ANNALS OF INDIAN PSYCHIATRY;2588-8358;2588-8366;Psychiatry;Annals of Indian Psychiatry;2588-8358;2588-8366
Annals of LGBTQ public and population health;2688-4518;;;;Springer Nature;US;C159110408;;;;;;;;;;;
Annals of Long-Term Care;1524-7929;1943-5010;;;;US;C159110408;;;;;;;;;;;
Annals of nursing research & practice;2572-9403;;;;;US;C159110408;;;;;;;;;;;
Annals of Nutrition and Metabolism;0250-6807;1421-9697;0250-6807;;Karger Publishers;CH;;Annals of Nutrition and Metabolism;0250-6807;1421-9697;"2916; 2701;";ANNALS OF NUTRITION AND METABOLISM;0250-6807;1421-9697;Endocrinology & Metabolism | Nutrition & Dietetics;;;
Annals of palliative medicine;2224-5839;2224-5820;;;AME Publishing Company;HK;C159110408;Annals of Palliative Medicine;2224-5820;2224-5839;"2703; 2902;";;;;;;;
Annals of public health and research;2378-9328;;;;;US;C159110408;;;;;;;;;;;
Annals of Public Health Issues;2720-1961;;;;De Gruyter;PL;C159110408;;;;;;;;;;;
Annals of public health reports;2642-4924;;;;;US;C159110408;;;;;;;;;;;
Annals of translational medicine & epidemiology;2472-3649;;;;;US;C159110408;;;;;;;;;;;
Annals of yoga and physical therapy;2573-8585;;;;;US;C159110408;;;;;;;;;;;
Annual Review of Clinical Psychology;1548-5943;1548-5951;;;Annual Reviews;US;C159110408;;;;;ANNUAL REVIEW OF CLINICAL PSYCHOLOGY;1548-5943;1548-5951;Psychology;;;
Annual review of nursing research;0739-6686;1944-4028;;;Springer Nature;US;C159110408;Annual review of nursing research;0739-6686;-;"2700;";;;;;;;
Annual Review of Physiology;1545-1585;0066-4278;;;Annual Reviews;US;C159110408;Annual Review of Physiology;0066-4278;1545-1585;"1314;";ANNUAL REVIEW OF PHYSIOLOGY;0066-4278;1545-1585;Physiology;;;
Annual Review of Public Health;1545-2093;0163-7525;;;Annual Reviews;US;C159110408;Annual Review of Public Health;0163-7525;1545-2093;"2739; 2700;";ANNUAL REVIEW OF PUBLIC HEALTH;0163-7525;1545-2093;Public, Environmental & Occupational Health;;;
ANPHI papers;0065-0676;;;;;;C159110408;;;;;;;;;;;
Antimicrobial Resistance and Infection Control;2047-2994;;;;BioMed Central;GB;C159110408;Antimicrobial Resistance and Infection Control;-;2047-2994;"2736; 2725; 2726; 2739;";ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL;2047-2994;2047-2994;Public, Environmental & Occupational Health | Infectious Diseases | Microbiology;Antimicrobial Resistance and Infection Control;;2047-2994
Antimicrobial stewardship & healthcare epidemiology;2732-494X;;;;Cambridge University Press;GB;C159110408;;;;;;;;;Antimicrobial Stewardship & Healthcare Epidemiology;;2732-494X
Anuradhapura Medical Journal;2279-3771;2345-9719;;;Anuradhapura Clinical Society;LK;C159110408;;;;;;;;;Anuradhapura Medical Journal;2279-3771;2345-9719
AORN Journal;0001-2092;0001-2092;1878-0369;;Elsevier BV;NL;;AORN Journal;0001-2092;-;"2914;";AORN JOURNAL;0001-2092;1878-0369;Nursing;;;
Aphasiology;0268-7038;1464-5041;0268-7038;;Taylor & Francis;GB;;Aphasiology;0268-7038;1464-5041;"2912; 2728; 2808; 3310; 3204; 1203; 2733;";APHASIOLOGY;0268-7038;1464-5041;Audiology & Speech-Language Pathology | Clinical Neurology | Rehabilitation;;;
Appetite;0195-6663;0195-6663;1095-8304;;Elsevier BV;NL;;Appetite;0195-6663;1095-8304;"2916; 3200;";APPETITE;0195-6663;1095-8304;Behavioral Sciences | Nutrition & Dietetics;;;
Applied Clinical Informatics;1869-0327;;;;Schattauer Verlag;DE;C159110408;Applied Clinical Informatics;-;1869-0327;"3605; 1706; 2718;";APPLIED CLINICAL INFORMATICS;1869-0327;1869-0327;Medical Informatics;;;
Applied drug research, clinical trials and regulatory affairs;2667-3371;2667-338X;;;;NL;C159110408;;;;;;;;;;;
Applied Health Economics and Health Policy;1175-5652;1179-1896;;;Springer Science+Business Media;NZ;C159110408;Applied Health Economics and Health Policy;1175-5652;-;"2719; 2002; 2700;";APPLIED HEALTH ECONOMICS AND HEALTH POLICY;1175-5652;1179-1896;Health Care Sciences & Services;;;
Applied Nursing Research;0897-1897;1532-8201;;;Elsevier BV;US;C159110408;Applied Nursing Research;0897-1897;1532-8201;"2900;";APPLIED NURSING RESEARCH;0897-1897;1532-8201;Nursing;;;
Applied Physiology, Nutrition, and Metabolism;1715-5312;1715-5320;1715-5312;;NRC Research Press;CA;;Applied Physiology, Nutrition and Metabolism;1715-5312;-;"2737; 2916; 1314; 2700; 2712;";APPLIED PHYSIOLOGY NUTRITION AND METABOLISM;1715-5312;1715-5320;Nutrition & Dietetics | Physiology | Sport Sciences;;;
Applied Psychology: Health and Well-being;1758-0854;1758-0846;;;Wiley-Blackwell;GB;C159110408;Applied Psychology: Health and Well-Being;1758-0846;1758-0854;"3202;";APPLIED PSYCHOLOGY-HEALTH AND WELL BEING;1758-0846;1758-0854;Psychology, Applied;;;
Applied Psychophysiology and Biofeedback;1090-0586;1573-3270;;;Springer Science+Business Media;US;C159110408;Applied Psychophysiology Biofeedback;1090-0586;1573-3270;"3202; 3206;";APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK;1090-0586;1573-3270;Psychology, Clinical;;;
Applied Research in Health and Social Sciences;2451-3091;;;;De Gruyter;PL;C159110408;;;;;;;;;;;
Applied Research in Health and Social Sciences: Interface and Interaction;1822-3338;;;;De Gruyter Open;LT;C159110408;;;;;;;;;;;
Applied Research in Quality of Life;1871-2576;1871-2584;;;Springer Science+Business Media;NL;C159110408;Applied Research in Quality of Life;1871-2584;1871-2576;"3319;";APPLIED RESEARCH IN QUALITY OF LIFE;1871-2584;1871-2576;Social Sciences, Interdisciplinary;;;
Aquichan;1657-5997;2027-5374;;;University of La Sabana;CO;C159110408;Aquichan;1657-5997;2027-5374;"2900;";;;;;Aquichan;1657-5997;2027-5374
Arab journal of nutrition and exercise;2518-6590;;;;Knowledge E;AE;C159110408;;;;;;;;;;;
ARC journal of nursing and healthcare;2455-4324;;;;;IN;C159110408;;;;;;;;;;;
Archive of gerontology and geriatrics research;2690-0807;;;;;US;C159110408;;;;;;;;;;;
Archives of community medicine and public health;2455-5479;;;;;IN;C159110408;;;;;;;;;;;
Archives of emergency medicine and intensive care;2638-5007;;;;;US;C159110408;;;;;;;;;;;
Archives of Family Medicine;1063-3987;1941-1758;;;American Medical Association;US;C159110408;;;;;;;;;;;
Archives of family medicine and general practice;2578-6539;;;;;US;C159110408;;;;;;;;;;;
Archives of Gerontology and Geriatrics;0167-4943;1872-6976;;;Elsevier BV;NL;C159110408;Archives of Gerontology and Geriatrics;0167-4943;-;"2717; 2909; 1302; 3306;";ARCHIVES OF GERONTOLOGY AND GERIATRICS;0167-4943;1872-6976;Geriatrics & Gerontology;;;
Archives of mental health;2589-9171;2589-918X;;;Medknow;IN;C159110408;Archives of Mental Health;2589-9171;2589-918X;"2738; 3203; ";;;;;Archives of Mental Health;2589-9171;2589-918X
Archives of nursing practice and care;2581-4265;;;;;IN;C159110408;;;;;;;;;;;
Archives of nursing research;2530-6855;;;;;ES;C159110408;;;;;;;;;Archives of Nursing Research;;2530-6855
Archives of palliative care and medicine;2689-9825;;;;;US;C159110408;;;;;;;;;;;
Archives of Pharmacy Practice;2045-080X;2320-5210;;;Medknow;IN;C159110408;;;;;ARCHIVES OF PHARMACY PRACTICE;2320-5210;2045-080X;Pharmacology & Pharmacy;Archives of Pharmacy Practice;2320-5210;2045-080X
Archives of physiotherapy;2057-0082;;;;Springer Science+Business Media;GB;C159110408;Archives of Physiotherapy;-;2057-0082;"3612; 2742; ";;;;;Archives of Physiotherapy;;2057-0082
Archives of Psychiatric Nursing;1532-8228;0883-9417;;;Elsevier BV;US;C159110408;Archives of Psychiatric Nursing;0883-9417;1532-8228;"2921;";ARCHIVES OF PSYCHIATRIC NURSING;0883-9417;1532-8228;Nursing | Psychiatry;;;
Archives of psychiatry and mental health;2766-2721;;;;;US;C159110408;;;;;;;;;;;
Archives of psychiatry and psychotherapy;1509-2046;2083-828X;;;;PL;C159110408;Archives of Psychiatry and Psychotherapy;1509-2046;2083-828X;"2738; 3203;";ARCHIVES OF PSYCHIATRY AND PSYCHOTHERAPY;1509-2046;2083-828X;Psychiatry;;;
